oid,mjd,fid,ra,dec,isdiffpos,mag_used,err_used
ZTF18aajtltx,58696.30946760019,1,274.38226,58.4936689,1,19.37839,0.220287
ZTF18aajtltx,58696.31041669985,1,274.3823481,58.4935252,1,19.37839,0.13862658
ZTF18aajtltx,58696.31200229982,1,274.3822794,58.4935514,1,19.37839,0.2038299
ZTF18aajtltx,58697.30224539992,2,274.3822292,58.4935362,1,19.133,0.226983
ZTF18aajtltx,58697.32874999987,1,274.3822274,58.4936812,1,19.37839,0.2305998500000009
ZTF18aajtltx,58698.31253470015,1,274.3825291,58.4936214,1,18.730968,0.215705
ZTF18aajtltx,58699.31167820003,1,274.3823119,58.4936879,1,19.37839,0.2305998500000009
ZTF18aajtltx,58700.27973379986,2,274.3822935,58.4935733,1,18.69809,0.15954426
ZTF18aajtltx,58700.2806712999,2,274.3823476,58.4936556,1,19.0662,0.22795
ZTF18aajtltx,58700.282245399896,2,274.3821789,58.4936239,1,19.008272,0.20305428
ZTF18aajtltx,58700.308252300136,1,274.3821633,58.4936853,1,19.3356,0.22916
ZTF18aajtltx,58700.30918980017,1,274.3822751,58.4936256,1,19.37839,0.17776953
ZTF18aajtltx,58700.31077549979,1,274.3820453,58.493627,1,19.37839,0.22074
ZTF18aajtltx,58701.28359950008,2,274.3823875,58.4935761,1,19.069431,0.17378029
ZTF18aajtltx,58701.31184029998,1,274.382337,58.4936645,1,19.37839,0.2305998500000009
ZTF18aajtltx,58701.31436339999,1,274.3820358,58.4936616,1,19.37839,0.191257
ZTF18aajtltx,58702.31101850001,1,274.3822185,58.4936606,1,19.37839,0.223686
ZTF18aajtltx,58702.31354170013,1,274.382349,58.4935639,1,19.37839,0.16794927
ZTF18aajtltx,58703.28486109991,2,274.3824031,58.4935491,1,18.719044,0.13993223
ZTF18aajtltx,58703.31145829987,1,274.3822068,58.4936636,1,19.37839,0.2023057
ZTF18aajtltx,58704.27946759993,2,274.3823663,58.4936056,1,19.0809,0.197546
ZTF18aajtltx,58704.281990699936,2,274.3823199,58.4936554,1,19.37839,0.2305998500000009
ZTF18aajtltx,58704.30692130001,1,274.3822545,58.4936518,1,19.37839,0.2305998500000009
ZTF18aajtltx,58705.19726849999,2,274.382312,58.4935688,1,18.6628,0.176522
ZTF18aajtltx,58705.19820600003,2,274.3822712,58.4936543,1,18.951166,0.18089311
ZTF18aajtltx,58705.19973379979,2,274.3824515,58.4935012,1,18.9861,0.156888
ZTF18aajtltx,58705.225763900205,1,274.3822395,58.4936325,1,19.308092,0.18971087
ZTF18aajtltx,58705.22670139978,1,274.3824142,58.4935426,1,19.37839,0.219144
ZTF18aajtltx,58705.2282292,1,274.382018,58.4936039,1,19.37839,0.18964428
ZTF18aajtltx,58706.22851849999,1,274.3823279,58.4936712,1,19.37839,0.2305998500000009
ZTF18aajtltx,58707.19765050011,2,274.3822803,58.4935732,1,19.087818,0.17467402
ZTF18aajtltx,58707.199178200215,2,274.3824531,58.4935897,1,18.830057,0.15058511
ZTF18aajtltx,58707.22542819986,1,274.3823426,58.4937814,1,19.2356,0.2305998500000009
ZTF18aajtltx,58707.22635419993,1,274.3824095,58.4935712,1,19.37839,0.2305998500000009
ZTF18aajtltx,58707.22789350012,1,274.382124,58.4936845,1,19.37839,0.20705126
ZTF18aajtltx,58708.20053240005,2,274.3824059,58.493556,1,19.128487,0.21581903
ZTF18aajtltx,58708.22653939994,1,274.3824159,58.493703,1,19.37839,0.2305998500000009
ZTF18aajtltx,58709.20012729988,2,274.382522,58.4935624,1,18.8675,0.2305998500000009
